Keyword,KD,Volume,Global,Clicks,,CPC,CPS,RR,SF,Parent topic,SERP,Updated
youtube,95,173M,1376M,158M,,$0.60,0.91,6.99,3,youtube,SERP,a day
facebook,98,168M,1138M,176M,,$0.20,1.05,11.85,1,facebook,SERP,2 days
amazon,94,129M,384M,129M,,$0.04,1,4.92,3,amazon,SERP,20 minutes
gmail,93,94M,610M,3.7M,,$0.60,0.04,5.92,2,gmail,SERP,a day
google,98,86M,609M,9.5M,,$2.50,0.11,4.62,3,google,SERP,2 days
weather,98,52M,76M,19M,,$0.09,0.36,5.63,,weather,SERP,a day
yahoo,99,51M,177M,53M,,$0.70,1.04,8.78,1,yahoo,SERP,a day
ebay,86,51M,141M,52M,,$0.80,1.03,4.96,3,ebay,SERP,2 days
walmart,80,46M,56M,42M,,$0.04,0.9,2.9,4,walmart,SERP,20 hours
netflix,95,44M,269M,45M,,$1.30,1.02,3.55,3,netflix,SERP,2 days
translate,92,31M,252M,6.1M,,$1.00,0.2,5.68,2,google translate,SERP,2 days
news,99,29M,67M,21M,,$1.90,0.71,9.63,,news,SERP,a day
craigslist,74,29M,31M,29M,,$2.50,0.99,4.52,2,craigslist,SERP,2 days
fox news,90,29M,31M,30M,,$1.20,1.03,9.28,5,foxnews,SERP,2 days
calculator,88,23M,41M,5.8M,,$0.30,0.25,5.04,1,calculator,SERP,a day
roblox,82,20M,93M,22M,,$0.09,1.07,4.84,2,roblox,SERP,a day
hotmail,83,20M,331M,22M,,$0.35,1.08,6.42,2,hotmail,SERP,a day
target,82,20M,22M,18M,,$0.60,0.92,2.4,3,target,SERP,a day
instagram,96,18M,184M,19M,,$0.70,1.02,2.61,3,instagram,SERP,a day
msn,81,18M,49M,18M,,$4.50,1.05,13.11,4,msn,SERP,20 hours
trump,96,17M,32M,16M,,$2.50,0.91,10.29,4,trump,SERP,a day
twitter,97,17M,110M,17M,,$0.40,1.02,3.43,2,twitter,SERP,an hour
maps,98,16M,103M,941K,,$0.30,0.06,3.52,1,google maps,SERP,2 days
nfl,92,14M,20M,6.6M,,$1.70,0.48,6.4,4,nfl,SERP,a day
pinterest,86,13M,72M,13M,,$0.35,0.98,3.16,3,pinterest,SERP,2 days
linkedin,89,13M,51M,13M,,$2.00,0.99,2.85,3,linkedin,SERP,a day
espn,88,12M,16M,12M,,$0.50,1,6.32,5,espn,SERP,a day
usps,82,11M,12M,11M,,$0.35,0.95,2.21,3,usps,SERP,a day
nba,95,7.7M,27M,3.7M,,$1.00,0.48,9.98,5,nba,SERP,a day
you,82,7.3M,54M,6.7M,,$1.00,0.91,2.44,1,you tube,SERP,2 days
ups,93,5.0M,8.3M,4.5M,,$0.25,0.9,1.8,2,ups,SERP,5 hours
map,98,3.7M,20M,293K,,$0.80,0.08,2.18,2,google maps,SERP,a day
classroom,86,3.5M,37M,105K,,$2.50,0.03,2.55,2,google classroom,SERP,10 hours
123movies,49,3.3M,13M,4.0M,,$0.45,1.22,3.5,1,123movies,SERP,a day
fox,97,2.3M,5.0M,2.0M,,$0.45,0.85,2.63,4,fox news,SERP,14 hours
tiktok,90,2.3M,9.4M,1.7M,,$0.00,0.76,1.17,3,tiktok,SERP,2 days
coronavirus,99,2.2M,36M,1.1M,,$0.30,0.5,1.18,2,coronavirus,SERP,a day
games,93,1.9M,5.8M,1.6M,,$0.25,0.85,1.75,3,games,SERP,15 hours
bitcoin,96,1.8M,8.1M,1.3M,,$0.90,0.75,2.49,4,bitcoin,SERP,a day
mail,98,1.4M,21M,551K,,$0.60,0.4,2.02,1,gmail,SERP,a day
food,95,1.1M,2.1M,317K,,$1.90,0.29,1.7,1,food,SERP,2 days
on,48,353K,1.6M,169K,,$0.80,0.48,1.17,1,on,SERP,2 days
tv,79,318K,5.2M,153K,,$1.00,0.48,1.31,2,tv,SERP,8 hours
com,99,234K,1.8M,117K,,$0.70,0.5,1.18,,amazon,SERP,8 hours
login,94,201K,1.4M,113K,,$0.50,0.56,1.29,1,gmail sign in,SERP,10 hours
covid,99,122K,667K,75K,,$0.00,0.61,1.24,2,covid,SERP,2 days
youtubecom,96,114K,310K,106K,,$0.60,0.93,1.35,1,youtubecom,SERP,4 hours
near,58,43K,164K,18K,,$1.40,0.43,1.07,2,near,SERP,9 hours
macyâ€™s,82,2.3K,9.2K,1.6K,,$0.06,0.72,1.29,4,macys,SERP,a day
the youtube,96,700,2.1K,598,,$0.60,0.82,1.2,2,you tube,SERP,a day